Date,Time,Team 1,,Team 2,TV
28 Jun,20:00,South Africa,v,Canada,ITV
29 Jun,18:00,Brazil,v,Japan,ITV
29 Jun,21:30,Germany,v,Paraguay,BBC
30 Jun,02:00,Netherlands,v,Morocco,ITV
30 Jun,18:00,Ivory Coast,v,Norway,BBC
30 Jun,22:00,France,v,Sweden,ITV
01 Jul,02:00,Mexico,v,Ecuador,ITV
01 Jul,17:00,England,v,DR Congo,BBC
01 Jul,21:00,Belgium,v,Senegal,ITV
02 Jul,01:00,USA,v,Bosnia-Herzegovina,BBC
02 Jul,20:00,Spain,v,Austria,BBC
03 Jul,00:00,Portugal,v,Croatia,BBC
03 Jul,04:00,Switzerland,v,Algeria,BBC
03 Jul,19:00,Australia,v,Egypt,BBC
03 Jul,23:00,Argentina,v,Cape Verde,ITV
04 Jul,02:30,Colombia,v,Ghana,ITV
