Stage,Team 1,Team 2,Stadium,Host City
Group A,Mexico,South Africa,Mexico City Stadium,Mexico City
Group A,South Korea,Czechia,Estadio Guadalajara,Guadalajara
Group A,Czechia,South Africa,Atlanta Stadium,Atlanta
Group A,Mexico,South Korea,Estadio Guadalajara,Guadalajara
Group A,Czechia,Mexico,Mexico City Stadium,Mexico City
Group A,South Africa,South Korea,Estadio Monterrey,Guadalupe
Group B,Canada,Bosnia-Herzegovina,Toronto Stadium,Toronto
Group B,Qatar,Switzerland,San Francisco Bay Area Stadium,Santa Clara
Group B,Switzerland,Bosnia-Herzegovina,Los Angeles Stadium,Los Angeles
Group B,Canada,Qatar,BC Place Vancouver,Vancouver
Group B,Bosnia-Herzegovina,Qatar,Seattle Stadium,Seattle
Group B,Switzerland,Canada,BC Place Vancouver,Vancouver
Group C,Brazil,Morocco,New York New Jersey Stadium,East Rutherford
Group C,Haiti,Scotland,Boston Stadium,Foxborough
Group C,Scotland,Morocco,Boston Stadium,Foxborough
Group C,Brazil,Haiti,Philadelphia Stadium,Philadelphia
Group C,Morocco,Haiti,Atlanta Stadium,Atlanta
Group C,Scotland,Brazil,Miami Stadium,Miami
Group D,United States,Paraguay,Los Angeles Stadium,Los Angeles
Group D,Australia,Turkey,BC Place Vancouver,Vancouver
Group D,United States,Australia,Seattle Stadium,Seattle
Group D,Turkey,Paraguay,San Francisco Bay Area Stadium,Santa Clara
Group D,Paraguay,Australia,San Francisco Bay Area Stadium,Santa Clara
Group D,Turkey,United States,Los Angeles Stadium,Los Angeles
Group E,Germany,Curaçao,Houston Stadium,Houston
Group E,Ivory Coast,Ecuador,Philadelphia Stadium,Philadelphia
Group E,Germany,Ivory Coast,Toronto Stadium,Toronto
Group E,Ecuador,Curaçao,Kansas City Stadium,Kansas City
Group E,Curaçao,Ivory Coast,Philadelphia Stadium,Philadelphia
Group E,Ecuador,Germany,New York New Jersey Stadium,East Rutherford
Group F,Netherlands,Japan,Dallas Stadium,Arlington
Group F,Sweden,Tunisia,Estadio Monterrey,Guadalupe
Group F,Netherlands,Sweden,Houston Stadium,Houston
